INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION,Penal Law OFFENSE,CLASS,CODE,DAYS_SINCE_ADMISSION
1115,07/14/2020 12:30:41 PM,,MED,N,B,M,48.0,DE,N,N,125.27,Y,Murder in the first degree,A-I Felony,125.27,502
20214883,07/14/2021 01:05:00 PM,,MIN,N,W,M,61.0,DE,N,N,220.77,N,Operating as a major trafficker,A-I Felony,220.77,137
20194207,07/14/2021 01:32:28 AM,,MIN,N,A,M,39.0,DE,N,N,140.20,N,Burglary in the third degree,D Felony,140.20,137
20002153,07/14/2021 01:38:31 PM,,MED,Y,W,F,45.0,DE,N,N,140.25,Y,Burglary in the second degree,C Violent Felony,140.25,137
40413,07/14/2021 02:50:00 PM,,MAX,Y,B,M,32.0,DE,N,N,265.03,N,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,137
20152789,07/14/2021 02:54:20 PM,,MIN,N,B,M,45.0,DE,N,N,140.25,N,Burglary in the second degree,C Violent Felony,140.25,137
20199586,07/14/2021 04:04:54 PM,,MIN,N,O,M,22.0,DE,N,N,110-120.05,N,,,,137
20214886,07/14/2021 04:12:48 PM,,MAX,Y,O,M,26.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,137
20214887,07/14/2021 04:21:12 PM,,MIN,Y,B,M,31.0,DE,N,N,110-125.25,N,,,,137
20214888,07/14/2021 04:26:50 PM,,MED,Y,O,M,22.0,DE,N,N,160.15,N,Robbery in the first degree,B Violent Felony,160.15,137
16324,07/14/2021 04:28:19 PM,,MED,N,B,M,36.0,DE,N,N,215.51,N,Criminal contempt in the first degree,E Felony,215.51,137
20214891,07/14/2021 09:48:10 PM,,MAX,N,B,M,18.0,DE,N,N,105.15,Y,Conspiracy in the second degree,B Felony,105.15,137
20143107,07/14/2021 10:46:11 PM,,MAX,N,O,M,27.0,DE,N,N,110-125.25,Y,,,,137
20074181,07/14/2021 11:07:17 AM,,MIN,Y,B,M,40.0,DE,N,N,110-140.20,N,,,,137
20207183,07/14/2021 11:42:46 AM,,MIN,N,O,M,41.0,DE,N,N,,N,,,,137
120146,07/14/2021 11:55:00 AM,,MED,N,B,M,41.0,DE,N,N,265.03,N,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,137
10001518,07/14/2021 12:19:59 AM,,MAX,N,B,M,35.0,DEP,N,Y,265.03,N,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,137
135504,07/14/2021 12:26:48 AM,,MIN,Y,B,M,48.0,DEP,N,N,AC 000.00,N,,,,137
10002846,07/14/2021 12:30:00 PM,,MIN,N,W,M,38.0,DE,N,N,220.77,N,Operating as a major trafficker,A-I Felony,220.77,137
20196706,07/15/2018 08:39:00 PM,,MED,N,B,M,28.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,1232
69054,07/15/2018 10:24:00 PM,,MAX,Y,B,M,33.0,DE,N,Y,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,1232
167125,07/15/2019 04:52:00 PM,,MED,Y,B,M,38.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,867
